MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,YEI,,2020,7562202.00,150701.70,728391.55,0.00,884571.70,147204.50,371228.98,1245231.47,2593296.98,0.00,2740501.48,3985732.95,52.71,52.71
IT,Italy,2014IT05SFOP004,Friuli-Venezia Giulia - ESF,ESF,More developed,2020,138213907.00,3897632.19,0.00,0.00,17214542.17,3978651.32,7395303.48,9738219.56,58792162.68,0.00,62770814.00,72509033.56,52.46,52.46
DE,Germany,2014DE16RFOP004,Brandenburg - ERDF,ERDF,Transition,2022,826507210.00,23847139.02,0.00,0.00,138385152.43,25754822.06,80609994.36,55867475.03,546898956.22,0.00,572653778.28,628521253.31,76.05,76.05
FR,France,2014FR05M9OP002,Alsace - ESF/YEI,YEI ESF Matching Component,,2019,4485714.00,0.00,0.00,0.00,252321.42,0.00,123357.14,128964.28,239544.69,0.00,239544.69,368508.97,8.22,8.22
FR,France,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,ERDF,Transition,2022,4817847.00,149234.40,0.00,0.00,851832.48,176025.17,436434.07,388607.64,3461284.28,0.00,3637309.45,4025917.09,83.56,76.08
EE,Estonia,2014EE16M3OP001,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,,2018,1061534677.00,30267677.07,0.00,0.00,74103340.21,8975168.61,17509048.83,77886799.84,377640256.41,0.00,386615425.02,464502224.86,43.76,43.76
GR,Greece,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2018,50553049.00,1404080.05,2457140.08,0.00,2588772.58,507275.99,1116191.56,4826525.16,6807671.23,0.00,7314947.22,12141472.38,24.02,24.02
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2021,351959114.00,9925247.01,0.00,0.00,50875689.91,9461389.42,28886415.88,22453131.62,143555829.20,0.00,153017218.62,175470350.24,49.86,49.86
IT,Italy,2014IT05SFOP005,Lazio  - ESF,ESF,More developed,2014,451267357.00,4241913.16,0.00,0.00,0.00,0.00,0.00,4241913.16,0.00,0.00,0.00,4241913.16,0.94,0.94
IT,Italy,2014IT14MFOP001,Maritime and Fisheries - Italy,EMFF,,2020,537262559.00,15150804.15,0.00,0.00,66916051.67,5129246.81,37245726.88,39691882.13,190224367.80,14990950.33,180362664.28,220054546.41,40.96,40.96
TC,Interreg,2014TC16RFCB022,Interreg V-A - Greece-Bulgaria,ERDF,,2020,110723408.00,3307237.02,0.00,0.00,14661208.08,964108.63,8156207.86,8848128.61,34791996.72,0.00,35756105.35,44604233.96,40.28,40.28
BE,Belgium,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,More developed,2016,197705461.00,5575293.99,0.00,0.00,3716862.66,0.00,0.00,9292156.65,0.00,0.00,0.00,9292156.65,4.70,4.70
GR,Greece,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2021,25641223.00,955243.49,1671676.10,0.00,4181073.17,551710.99,2183315.88,4072965.89,9997796.96,0.00,10549507.95,14622473.84,57.03,57.03
HU,Hungary,2014HU16M1OP001,Environmental and Energy Efficiency  - HU - ERDF/CF,CF,,2016,3131268934.00,87953575.50,0.00,0.00,58635717.00,0.00,0.00,146589292.50,0.00,0.00,0.00,146589292.50,4.68,4.68
CZ,Czechia,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - CZ - ESF/YEI",YEI Specific Allocation,,2017,13599984.00,407999.52,3943995.36,3943995.36,628999.26,0.00,271999.68,764999.10,2313281.04,0.00,2313281.04,3078280.14,22.63,22.63
ES,Spain,2014ES16RFOP020,Navarra  - ERDF,ERDF,More developed,2017,44509217.00,1426978.53,0.00,0.00,1885650.20,0.00,815416.30,2497212.43,0.00,0.00,0.00,2497212.43,5.61,5.61
ES,Spain,2014ES05SFOP016,Extremadura - ESF,ESF,Less developed,2019,274376562.00,8726407.17,0.00,0.00,25802813.11,0.00,18387786.53,16141433.75,112931734.03,1252646.89,111679087.14,127820520.89,46.59,46.59
PT,Portugal,2014PT16M2OP001,Norte - ERDF/ESF,ERDF,Less developed,2022,2811635749.00,91903536.20,0.00,0.00,456137260.85,158647896.73,198009855.24,191383045.08,2205730726.11,0.00,2364378622.84,2555761667.92,90.90,90.90
