MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
TC,Interreg,2014TC16M4TN003,Interreg V-B - Balkan-Mediterranean,ERDF,,2015,28330108.00,566602.16,0.00,0.00,0.00,0.00,0.00,566602.16,0.00,0.00,0.00,566602.16,2.00,2.00
PT,Portugal,2014PT16RFTA001,Technical Assistance - PT - ERDF,ERDF,More developed,2015,9669148.00,241728.70,0.00,0.00,0.00,0.00,0.00,241728.70,0.00,0.00,0.00,241728.70,2.50,2.50
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,YEI Specific Allocation,,2021,336149225.00,6479079.60,62631102.80,0.00,45287868.93,14909344.55,19550758.08,79937948.70,248521043.83,7219112.08,256211276.30,336149225.00,100.00,100.00
PT,Portugal,2014PT16M2OP006,Madeira - ERDF/ESF,ERDF,Outermost or Northern Sparsely Populated,2022,58181815.00,1914181.71,0.00,0.00,7246545.05,6496358.97,2163929.62,500438.17,51185017.86,0.00,57681376.83,58181815.00,100.00,100.00
IT,Italy,2014IT05SFOP005,Lazio  - ESF,ESF,More developed,2022,451267357.00,12725739.48,0.00,0.00,74256043.66,26992665.50,31898816.87,28090300.77,397874434.04,1690043.31,423177056.23,451267357.00,100.00,100.00
FR,France,2014FR16M0OP014,Bourgogne - ERDF/ESF/YEI,ESF,REACT-EU,2022,5200000.00,468000.00,0.00,0.00,124800.00,0.00,62400.00,530400.00,0.00,0.00,0.00,530400.00,10.20,10.20
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,YEI,,2014,431938640.00,4319386.40,0.00,0.00,0.00,0.00,0.00,4319386.40,0.00,0.00,0.00,4319386.40,1.00,1.00
ES,Spain,2014ES05FMOP001,FEAD - Spain,FEAD,,2022,563410224.00,61975124.64,0.00,0.00,0.00,0.00,0.00,61975124.64,501435099.36,0.00,501435099.36,563410224.00,100.00,100.00
FR,France,2014FR16RFOP003,Interregional Massif Central - ERDF,ERDF,More developed,2015,16480000.00,309824.00,0.00,0.00,0.00,0.00,0.00,309824.00,0.00,0.00,0.00,309824.00,1.88,1.88
GR,Greece,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2014,25441941.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BE,Belgium,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,REACT-EU,2021,29950600.00,3294566.00,0.00,0.00,599012.00,0.00,0.00,3893578.00,0.00,0.00,0.00,3893578.00,13.00,13.00
BE,Belgium,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,YEI Specific Allocation,,2015,36563960.00,731279.20,10603548.40,0.00,0.00,0.00,0.00,11334827.60,0.00,0.00,0.00,11334827.60,31.00,31.00
HU,Hungary,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,YEI ESF Matching Component,,2019,49765356.00,1492960.68,0.00,0.00,3670195.01,1822708.60,1847486.12,1492960.97,32017733.19,0.00,33840441.79,35333402.76,71.00,71.00
TC,Interreg,2014TC16M5CB010,,ENI,,2021,73952000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ES,Spain,2014ES06RDRP005,Canarias - Rural Development,EAFRD,,2016,157500000.00,5512500.00,0.00,0.00,0.00,0.00,0.00,5512500.00,0.00,0.00,0.00,5512500.00,3.50,3.50
TC,Interreg,2014TC16M5CB012,,ENI,,2021,60000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FR,France,2014FR16M0OP004,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,More developed,2023,181550137.00,5119713.87,0.00,0.00,29874075.09,12805740.63,13547895.22,8640153.11,160104243.26,0.00,172909983.89,181550137.00,100.00,100.00
TC,Interreg,2014TC16M5CB003,,ENI,,2020,36146782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HU,Hungary,2014HU16M1OP003,Integrated Transport - HU - ERDF/CF,ERDF,Less developed,2022,631099276.00,17796999.60,0.00,0.00,99307148.89,22860617.61,61547956.95,32695573.93,719781666.89,144238582.43,598403702.07,631099276.00,100.00,100.00
SK,Slovakia,2014SK16M1OP002,Quality of Environment - SK - ERDF/CF,ERDF,More developed,2023,3984712.00,116752.11,0.00,0.00,595349.40,375781.01,205097.73,131222.77,3477708.22,0.00,3853489.23,3984712.00,100.00,100.00
TC,Interreg,2014TC16RFTN006,Interreg V-B - North West Europe,ERDF,,2016,396134342.00,11884030.26,0.00,0.00,7922686.84,0.00,0.00,19806717.10,0.00,0.00,0.00,19806717.10,5.00,5.00
MT,Malta,2014MT16RFSM001,SME initiative - MT - ERDF,ERDF,Transition,2015,15000000.00,300000.00,0.00,0.00,0.00,0.00,0.00,300000.00,0.00,0.00,0.00,300000.00,2.00,2.00
ES,Spain,2014ES05SFOP012,Social inclusion and social economy - ES - ESF,ESF,REACT-EU,2022,260000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RO,Romania,2014RO05FMOP001,FEAD - Romania,FEAD,,2015,441013044.00,48511434.84,0.00,0.00,0.00,0.00,0.00,48511434.84,0.00,0.00,0.00,48511434.84,11.00,11.00
FI,Finland,2016FI16RFSM001,SME Initiative - FI - ERDF,ERDF,More developed,2018,20000000.00,0.00,0.00,0.00,1075000.00,0.00,525000.00,550000.00,18000000.00,0.00,18000000.00,18550000.00,92.75,92.75
FR,France,2014FR05M9OP002,Alsace - ESF/YEI,YEI,,2017,8971428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IT,Italy,2014IT16RFOP003,Enterprises and Competitiveness - IT - ERDF,ERDF,More developed,2022,49387270.00,0.00,0.00,0.00,5422694.40,987769.19,2669381.90,1765543.31,46633957.50,0.00,47621726.69,49387270.00,100.00,100.00
SK,Slovakia,2014SK05FMOP001,FEAD - Slovakia,FEAD,,2015,55112543.00,6062379.73,0.00,0.00,0.00,0.00,0.00,6062379.73,0.00,0.00,0.00,6062379.73,11.00,11.00
FR,France,2014FR05SFOP004,Martinique - ESF,ESF,REACT-EU,2021,29706629.00,3267729.19,0.00,0.00,0.00,0.00,0.00,3267729.19,0.00,0.00,0.00,3267729.19,11.00,11.00
TC,Interreg,2014TC16M5CB010,,ENI,,2023,73952000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,ERDF,REACT-EU,2021,236669440.00,26033638.40,0.00,0.00,4733388.80,0.00,0.00,30767027.20,0.00,0.00,0.00,30767027.20,13.00,13.00
PL,Poland,2014PL05FMOP001,FEAD - Poland,FEAD,,2023,473359260.00,52069518.60,0.00,0.00,0.00,3496623.48,0.00,48572895.12,421289741.40,0.00,424786364.88,473359260.00,100.00,100.00
TC,Interreg,2014TC16M5CB002,,ENI,,2020,21501054.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BG,Bulgaria,2015BG16RFSM001,SME Initiative - BG - ERDF,ERDF,Less developed,2023,102000000.00,1020000.00,0.00,0.00,7522500.00,6502500.00,2040000.00,0.00,95497500.00,0.00,102000000.00,102000000.00,100.00,100.00
FR,France,2014FR16M0OP015,Lorraine et Vosges - ERDF/ESF/YEI,ERDF,Transition,2023,331804799.00,9356895.33,0.00,0.00,54598479.67,25265304.01,25134186.01,13555884.98,292983610.01,0.00,318248914.02,331804799.00,100.00,100.00
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,YEI ESF Matching Component,,2014,215969320.00,2159693.20,0.00,0.00,0.00,0.00,0.00,2159693.20,0.00,0.00,0.00,2159693.20,1.00,1.00
HU,Hungary,2014HU16M1OP003,Integrated Transport - HU - ERDF/CF,CF,,2023,2700708949.00,76159992.36,0.00,0.00,444401657.56,35710303.20,335704695.01,149146651.71,3204005276.80,688153282.71,2551562297.29,2700708949.00,100.00,100.00
TC,Interreg,2014TC16M6TN001,Interreg V-B - Danube,ERDF,,2015,202095405.00,4041908.10,0.00,0.00,0.00,0.00,0.00,4041908.10,0.00,0.00,0.00,4041908.10,2.00,2.00
TC,Interreg,2014TC16RFCB031,Interreg V-A - Lithuania-Poland,ERDF,,2016,53153883.00,1594616.49,0.00,0.00,1063077.66,0.00,0.00,2657694.15,0.00,0.00,0.00,2657694.15,5.00,5.00
IT,Italy,2015IT16RFSM001,SME Initiative - IT - ERDF,ERDF,Transition,2016,2500000.00,25000.00,0.00,0.00,50000.00,0.00,0.00,75000.00,0.00,0.00,0.00,75000.00,3.00,3.00
HU,Hungary,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,YEI Specific Allocation,,2023,49765356.00,1492960.68,14431953.24,0.00,3670195.01,3315669.60,1847486.12,14431953.21,32017733.19,0.00,35333402.79,49765356.00,100.00,100.00
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,Less developed,2016,604693.00,18140.79,0.00,0.00,12093.86,0.00,0.00,30234.65,0.00,0.00,0.00,30234.65,5.00,5.00
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,Less developed,2015,604693.00,12093.86,0.00,0.00,0.00,0.00,0.00,12093.86,0.00,0.00,0.00,12093.86,2.00,2.00
FI,Finland,2014FI05M2OP001,Entrepreneurship and skills Åland - ESF/ERDF,ERDF,REACT-EU,2021,363181.00,39949.91,0.00,0.00,7263.62,0.00,0.00,47213.53,0.00,0.00,0.00,47213.53,13.00,13.00
BG,Bulgaria,2014BG05M9OP001,Human Resources Development  - BG - ESF/YEI,ESF,REACT-EU,2023,210016714.00,78138416.25,0.00,0.00,3472818.50,31524480.75,3472818.50,46613935.50,131878297.75,0.00,163402778.50,210016714.00,100.00,100.00
TC,Interreg,2014TC16RFCB016,Interreg V-A - Sweden-Norway,ERDF,,2015,47199965.00,943999.30,0.00,0.00,0.00,0.00,0.00,943999.30,0.00,0.00,0.00,943999.30,2.00,2.00
BE,Belgium,2014BE05SFOP001,German Speaking Community of Belgium - ESF,ESF,Transition,2023,11000000.00,310200.00,0.00,0.00,1810050.00,1100845.96,584319.20,435084.84,9589169.18,125099.98,10564915.16,11000000.00,100.00,100.00
DE,Germany,2014DE06RDRN001,Germany - Rural Network,EAFRD,,2014,5000000.00,50000.00,0.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,50000.00,1.00,1.00
TC,Interreg,2014TC16M5CB008,,ENI,,2023,74000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TC,Interreg,2014TC16RFCB052,Interreg V-A - Italy-Austria,ERDF,,2016,82238866.00,2467165.98,0.00,0.00,1644777.32,0.00,0.00,4111943.30,0.00,0.00,0.00,4111943.30,5.00,5.00
RO,Romania,2014RO16RFTA001,Technical Assistance - RO - ERDF,ERDF,More developed,2014,12255319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ERDF,Less developed,2015,110666704.00,3320001.12,3873334.64,0.00,0.00,0.00,0.00,7193335.76,0.00,0.00,0.00,7193335.76,6.50,6.50
LV,Latvia,2014LV16MAOP001,Growth and Employment - LV - ERDF/ESF/CF/YEI,YEI Specific Allocation,,2015,29010639.00,580212.78,8413085.31,0.00,0.00,0.00,0.00,8993298.09,0.00,0.00,0.00,8993298.09,31.00,31.00
FR,France,2014FR16M2OP004,Corse - ERDF/ESF,ERDF,Transition,2014,104054391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ES,Spain,2014ES05FMOP001,FEAD - Spain,FEAD,,2023,563410224.00,61975124.64,0.00,0.00,0.00,0.00,0.00,61975124.64,501435099.36,0.00,501435099.36,563410224.00,100.00,100.00
FR,France,2014FR16RFOP002,Interregional Loire - ERDF,ERDF,More developed,2014,13596000.00,127802.40,0.00,0.00,0.00,0.00,0.00,127802.40,0.00,0.00,0.00,127802.40,0.94,0.94
FR,France,2014FR16M0OP003,Centre - ERDF/ESF/YEI,YEI ESF Matching Component,,2015,11571336.00,231426.72,0.00,0.00,0.00,0.00,0.00,231426.72,0.00,0.00,0.00,231426.72,2.00,2.00
PL,Poland,2014PL16M1OP001,Infrastructure and Environment - PL - ERDF/CF,CF,,2023,22436807603.00,633461590.08,0.00,0.00,4143820895.70,1718568445.35,1607485330.85,1451228709.58,19267010448.07,0.00,20985578893.42,22436807603.00,100.00,100.00
TC,Interreg,2014TC16RFCB004,Interreg V-A - Austria–Germany/Bayern,ERDF,,2023,54478064.00,1634341.92,0.00,0.00,9397466.04,3687142.21,5094865.71,2249800.04,48541121.75,0.00,52228263.96,54478064.00,100.00,100.00
UK,United Kingdom,2014UK05FMOP001,FEAD - United Kingdom,FEAD,,2016,3944660.00,433912.60,0.00,0.00,0.00,0.00,0.00,433912.60,0.00,0.00,0.00,433912.60,11.00,11.00
FR,France,2014FR16M0OP002,Auvergne - ERDF/ESF/YEI,YEI Specific Allocation,,2023,6069483.00,182084.49,1760150.07,0.00,622122.01,539698.50,203813.62,1820844.45,3708940.05,0.00,4248638.55,6069483.00,100.00,100.00
IT,Italy,2014IT05SFOP001,Social Inclusion - IT - ESF,ESF,REACT-EU,2022,92280000.00,13842000.00,0.00,0.00,1845600.00,0.00,0.00,15687600.00,0.00,0.00,0.00,15687600.00,17.00,17.00
IT,Italy,2015IT16RFSM001,SME Initiative - IT - ERDF,ERDF,Less developed,2023,294840000.00,975000.00,0.00,0.00,31530581.25,10674356.25,13354575.00,8476650.00,275688993.75,0.00,286363350.00,294840000.00,100.00,100.00
TC,Interreg,2014TC16M5TN001,Interreg V-B - Baltic Sea,ERDF,,2014,263830658.00,2638306.58,0.00,0.00,0.00,0.00,0.00,2638306.58,0.00,0.00,0.00,2638306.58,1.00,1.00
IT,Italy,2014IT16RFOP018,Trento - ERDF,ERDF,More developed,2022,46105362.00,1532220.12,0.00,0.00,8001822.19,2323016.04,4777835.47,2433190.80,41349155.16,0.00,43672171.20,46105362.00,100.00,100.00
TC,Interreg,2014TC16M5CB007,,ENI,,2022,41645860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NL,Netherlands,2014NL16RFOP004,East Netherlands - ERDF,ERDF,REACT-EU,2021,43576048.00,4793365.28,0.00,0.00,871520.96,0.00,0.00,5664886.24,0.00,0.00,0.00,5664886.24,13.00,13.00
BG,Bulgaria,2014BG06RDNP001,Bulgaria - National Rural Development,EAFRD,,2015,2366716966.00,47334339.32,0.00,0.00,0.00,0.00,0.00,47334339.32,0.00,0.00,0.00,47334339.32,2.00,2.00
PT,Portugal,2014PT16M2OP007,Algarve - ERDF/ESF,ERDF,Transition,2023,231619248.00,7376068.46,0.00,0.00,40029239.50,16383652.21,16766855.94,14254799.81,200980795.98,0.00,217364448.19,231619248.00,100.00,100.00
FR,France,2014FR16RFOP003,Interregional Massif Central - ERDF,ERDF,Transition,2015,23520000.00,442176.00,0.00,0.00,0.00,0.00,0.00,442176.00,0.00,0.00,0.00,442176.00,1.88,1.88
SE,Sweden,2014SE16RFOP004,East-Central Sweden - ERDF,ERDF,More developed,2014,70021662.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FR,France,2014FR16RFOP002,Interregional Loire - ERDF,ERDF,More developed,2016,13596000.00,383407.20,0.00,0.00,255604.80,0.00,0.00,639012.00,0.00,0.00,0.00,639012.00,4.70,4.70
HU,Hungary,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,YEI Specific Allocation,,2015,49765356.00,995307.12,14431953.24,0.00,0.00,0.00,0.00,15427260.36,0.00,0.00,0.00,15427260.36,31.00,31.00
IT,Italy,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ESF,REACT-EU,2021,80000000.00,8800000.00,0.00,0.00,0.00,0.00,0.00,8800000.00,0.00,0.00,0.00,8800000.00,11.00,11.00
TC,Interreg,2014TC16RFCB050,Interreg V-A - Estonia-Latvia,ERDF,,2016,38020684.00,1140620.52,0.00,0.00,760413.68,0.00,0.00,1901034.20,0.00,0.00,0.00,1901034.20,5.00,5.00
FR,France,2014FR16M0OP002,Auvergne - ERDF/ESF/YEI,YEI Specific Allocation,,2014,6069483.00,60694.83,0.00,0.00,0.00,0.00,0.00,60694.83,0.00,0.00,0.00,60694.83,1.00,1.00
ES,Spain,2014ES06RDRP013,Murcia - Rural Development,EAFRD,,2015,219304740.00,5482618.50,0.00,0.00,0.00,0.00,0.00,5482618.50,0.00,0.00,0.00,5482618.50,2.50,2.50
FR,France,2014FR16RFOP001,Interregional Alpes - ERDF,ERDF,More developed,2015,34000000.00,639200.00,0.00,0.00,0.00,0.00,0.00,639200.00,0.00,0.00,0.00,639200.00,1.88,1.88
ES,Spain,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2022,590577528.00,18562017.22,0.00,0.00,88311486.07,14309683.09,53729293.50,38834526.70,537433318.21,0.00,551743001.30,590577528.00,100.00,100.00
DE,Germany,2014DE05FSOP001,FEAD - Germany,FEAD,,2015,78893211.00,8678253.21,0.00,0.00,0.00,0.00,0.00,8678253.21,0.00,0.00,0.00,8678253.21,11.00,11.00
TC,Interreg,2014TC16RFPC001,PEACE (IE-UK),ERDF,,2015,229169320.00,4583386.40,0.00,0.00,0.00,0.00,0.00,4583386.40,0.00,0.00,0.00,4583386.40,2.00,2.00
TC,Interreg,2014TC16RFIR004,ESPON,ERDF,,2016,41377019.00,1241310.57,0.00,0.00,827540.38,0.00,0.00,2068850.95,0.00,0.00,0.00,2068850.95,5.00,5.00
GR,Greece,2014GR16M2OP013,South Aegean - ERDF/ESF,ERDF,More developed,2014,62172081.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,YEI,,2016,18423072.00,552692.16,2671345.44,2671345.44,368461.44,0.00,0.00,921153.60,0.00,0.00,0.00,921153.60,5.00,5.00
TC,Interreg,2014TC16RFIR002,Interact,ERDF,,2015,39392594.00,787851.88,0.00,0.00,0.00,0.00,0.00,787851.88,0.00,0.00,0.00,787851.88,2.00,2.00
UK,United Kingdom,2014UK05M9OP001,England  - ESF/YEI,YEI Specific Allocation,,2014,159788424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,Transition,2016,733190.00,21995.70,0.00,0.00,14663.80,0.00,0.00,36659.50,0.00,0.00,0.00,36659.50,5.00,5.00
RO,Romania,2014RO16RFTA001,Technical Assistance - RO - ERDF,ERDF,Less developed,2014,200510639.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TC,Interreg,2014TC16I5CB007,IPA CBC Bulgaria - Serbia,IPAE-contribution from ERDF,,2023,14493457.00,2995613.50,0.00,0.00,0.00,147501.66,0.00,2848111.84,11497843.50,0.00,11645345.16,14493457.00,100.00,100.00
FR,France,2014FR16M0OP013,Provence-Alpes-Côte d'Azur - ERDF/ESF/YEI,ERDF,More developed,2014,284316236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DE,Germany,2014DE16RFOP013,Sachsen-Anhalt - ERDF,ERDF,REACT-EU,2021,78847005.00,8673170.55,0.00,0.00,0.00,0.00,0.00,8673170.55,0.00,0.00,0.00,8673170.55,11.00,11.00
IT,Italy,2014IT16RFOP003,Enterprises and Competitiveness - IT - ERDF,ERDF,Transition,2022,114187419.00,2132300.00,0.00,0.00,15324529.39,4520696.00,9431159.36,3504974.03,106161748.97,0.00,110682444.97,114187419.00,100.00,100.00
IT,Italy,2014IT16RFOP015,Sardegna - ERDF,ERDF,Transition,2023,465489541.00,13126805.07,0.00,0.00,85906094.87,30351554.93,39457102.92,29224242.09,405913743.98,0.00,436265298.91,465489541.00,100.00,100.00
PT,Portugal,2014PT16M2OP001,Norte - ERDF/ESF,ERDF,Less developed,2014,2795804548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GR,Greece,2014GR16M2OP001,Competitiveness Entrepreneurship and Innovation - GR - ERDF/ESF,ERDF,Transition,2022,934946468.00,16084111.36,28147194.88,0.00,76423044.89,79236187.91,24863040.28,16555122.94,839155157.15,0.00,918391345.06,934946468.00,100.00,100.00
EE,Estonia,2014EE16M3OP001,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,,2023,1061534677.00,30267677.07,0.00,0.00,196418673.35,38388453.92,112778556.22,75519340.28,1084600988.28,136974105.48,986015336.72,1061534677.00,100.00,100.00
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,More developed,2014,662117.00,6621.17,0.00,0.00,0.00,0.00,0.00,6621.17,0.00,0.00,0.00,6621.17,1.00,1.00
HU,Hungary,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,YEI ESF Matching Component,,2021,49765356.00,1492960.68,0.00,0.00,3670195.01,1822708.60,1847486.12,1492960.97,32017733.19,0.00,33840441.79,35333402.76,71.00,71.00
DE,Germany,2014DE16RFOP012,Sachsen - ERDF,ERDF,REACT-EU,2021,115328087.00,12686089.57,0.00,0.00,0.00,0.00,0.00,12686089.57,0.00,0.00,0.00,12686089.57,11.00,11.00
FR,France,2014FR16RFOP005,Interregional Rhône Saône - ERDF,ERDF,Transition,2014,19404000.00,182397.60,0.00,0.00,0.00,0.00,0.00,182397.60,0.00,0.00,0.00,182397.60,0.94,0.94
FR,France,2014FR16M2TA001,Technical Assistance - FR - ERDF/ESF,ERDF,Transition,2014,12640842.00,126408.42,0.00,0.00,0.00,0.00,0.00,126408.42,0.00,0.00,0.00,126408.42,1.00,1.00
CY,Cyprus,2014CY05FMOP001,FEAD - Cyprus,FEAD,,2022,3944660.00,433912.60,0.00,0.00,0.00,0.00,0.00,433912.60,3510747.40,0.00,3510747.40,3944660.00,100.00,100.00
ES,Spain,2014ES05SFOP022,Andalucía - ESF,ESF,Transition,2023,1039832060.00,31405629.36,0.00,0.00,165194155.47,62019589.28,87081672.55,47498523.00,930313947.72,0.00,992333537.00,1039832060.00,100.00,100.00
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,YEI,,2014,18423072.00,184230.72,0.00,0.00,0.00,0.00,0.00,184230.72,0.00,0.00,0.00,184230.72,1.00,1.00
LV,Latvia,2014LV05FMOP001,FEAD - Latvia,FEAD,REACT-EU,2023,7931641.00,918506.85,0.00,0.00,0.00,0.00,0.00,918506.85,7013134.15,0.00,7013134.15,7931641.00,100.00,100.00
TC,Interreg,2014TC16RFCB038,Interreg V-A - France-Belgium-The Netherlands-United Kingdom (Two seas),ERDF,,2015,256648702.00,5132974.04,0.00,0.00,0.00,0.00,0.00,5132974.04,0.00,0.00,0.00,5132974.04,2.00,2.00
IT,Italy,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ESF,REACT-EU,2023,80000000.00,12000000.00,0.00,0.00,3200000.00,45272.50,1554727.50,13600000.00,66354727.50,0.00,66400000.00,80000000.00,100.00,100.00
TC,Interreg,2014TC16RFCB008,Interreg V-A - Hungary-Croatia,ERDF,,2016,60824406.00,1824732.18,0.00,0.00,1216488.12,0.00,0.00,3041220.30,0.00,0.00,0.00,3041220.30,5.00,5.00
TC,Interreg,2014TC16RFCB032,Interreg V-A - Sweden-Finland-Norway (Nord),ERDF,,2015,41951870.00,839037.40,0.00,0.00,0.00,0.00,0.00,839037.40,0.00,0.00,0.00,839037.40,2.00,2.00
IT,Italy,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ESF,Transition,2022,4435776.00,125088.87,0.00,0.00,729906.88,157876.16,400070.59,297049.00,3980850.84,0.00,4138727.00,4435776.00,100.00,100.00
BG,Bulgaria,2014BG05M2OP001,Science and Education for Smart Growth  - BG - ESF/ERDF,ESF,REACT-EU,2022,56018444.00,19824131.83,0.00,0.00,1120368.88,0.00,1120368.88,19824131.83,35073943.29,0.00,35073943.29,54898075.12,98.00,98.00
UK,United Kingdom,2014UK16RFOP002,Gibraltar - ERDF,ERDF,More developed,2020,5973795.00,160269.45,0.00,0.00,707856.74,333326.95,244318.24,290481.00,5349987.05,0.00,5683314.00,5973795.00,100.00,100.00
RO,Romania,2014RO05M9OP001,Human Capital - RO - ESF/YEI,YEI ESF Matching Component,,2016,105994315.00,4239772.60,0.00,0.00,2119886.30,0.00,0.00,6359658.90,0.00,0.00,0.00,6359658.90,6.00,6.00
IT,Italy,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ESF,More developed,2022,38317068.00,1032190.38,0.00,0.00,6091523.57,1105662.31,3544699.31,2473352.33,34738053.36,0.00,35843715.67,38317068.00,100.00,100.00
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,YEI Specific Allocation,,2015,31782633.00,635652.66,9216963.57,0.00,0.00,0.00,0.00,9852616.23,0.00,0.00,0.00,9852616.23,31.00,31.00
TC,Interreg,2014TC16RFCB012,Interreg V-A - Poland-Slovakia,ERDF,,2015,154988723.00,3099774.46,0.00,0.00,0.00,0.00,0.00,3099774.46,0.00,0.00,0.00,3099774.46,2.00,2.00
FR,France,2014FR16M2OP006,Limousin - ERDF/ESF,ERDF,Transition,2023,125558965.00,3540762.81,0.00,0.00,23171906.99,3935450.35,13471908.46,9305310.99,113060425.41,742221.75,116253654.01,125558965.00,100.00,100.00
UK,United Kingdom,2014UK05M9OP002,Scotland - ESF/YEI,YEI Specific Allocation,,2016,46309700.00,1389291.00,13429813.00,13429813.00,926194.00,0.00,0.00,2315485.00,0.00,0.00,0.00,2315485.00,5.00,5.00
ES,Spain,2014ES05SFOP001,La Rioja  - ESF,ESF,REACT-EU,2021,16689144.00,1835805.84,0.00,0.00,0.00,0.00,0.00,1835805.84,0.00,0.00,0.00,1835805.84,11.00,11.00
SE,Sweden,2014SE05M9OP001,Investments in growth and employInvestments in growth and employment - SE - ESF/YEIment - ESF/YEI,YEI Specific Allocation,,2020,44163096.00,1324892.88,12807297.84,0.00,3257028.33,1115184.59,2141843.74,14132190.72,28915720.69,0.00,30030905.28,44163096.00,100.00,100.00
TC,Interreg,2014TC16M5CB010,,ENI,,2019,73952000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ES,Spain,2014ES05SFOP019,Cantabria - ESF,ESF,More developed,2023,23101467.00,743634.78,0.00,0.00,4025122.13,751625.41,2776878.03,1240253.47,20647558.78,0.00,21399184.19,22639437.66,98.00,98.00
